task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
147	28/73f6a5	46373	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:50:01.049	49.1s	48.4s	176.4%	1.7 GB	14.2 GB	411.8 MB	1.1 MB
149	f8/ffd577	49969	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:50:50.098	47.8s	47.4s	175.2%	1.8 GB	14.2 GB	386.8 MB	1.1 MB
151	50/80e8f3	49998	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:50:50.158	48.3s	47.7s	145.3%	1.4 GB	14.2 GB	281 MB	1.1 MB
157	87/5804e3	53640	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:51:38.416	32.5s	32s	172.5%	1.1 GB	14.2 GB	359.4 MB	1.1 MB
155	8c/45e8a7	53472	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:51:37.937	39.4s	38.9s	161.0%	2.2 GB	14.2 GB	580.5 MB	1.1 MB
145	c8/cfef97	56275	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:52:10.895	53.2s	52.7s	181.8%	1.5 GB	14.5 GB	351.1 MB	1.1 MB
154	a8/7b0956	57132	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:52:17.334	48s	47.6s	181.2%	1.6 GB	14.2 GB	357.4 MB	1.1 MB
153	da/26616b	60298	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:53:05.342	47.4s	46.7s	145.6%	1.7 GB	14.2 GB	426 MB	1.1 MB
150	f3/4c90cb	59892	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:53:04.146	49s	48.5s	147.3%	1.6 GB	14.2 GB	414 MB	1.1 MB
161	c8/0f33b6	69269	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:53:53.154	59.4s	58.6s	114.9%	1.9 GB	14.5 GB	378.9 MB	1.1 MB
158	c3/aa0814	69179	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:53:52.726	59.8s	58.7s	124.6%	1.7 GB	14.2 GB	349.5 MB	1.1 MB
162	6c/d50a41	96032	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:54:52.675	13.6s	13s	238.5%	1.5 GB	14.2 GB	158.7 MB	1.1 MB
160	2c/a9cb1b	96019	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:54:52.634	53.9s	53.2s	121.1%	1.4 GB	14.2 GB	323.9 MB	1.1 MB
159	03/4b5e97	98644	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:GATK4_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:55:06.285	56.2s	55.4s	137.3%	1.8 GB	14.2 GB	372.3 MB	1.1 MB
163	0e/591246	128769	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:MERGE_HAPLOTYPECALLER (S3)	COMPLETED	0	2025-12-08 23:56:04.052	12.4s	11.4s	210.4%	392.4 MB	11.9 GB	95.9 MB	726.3 KB
164	ad/b9e3c0	131702	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:VCF_VARIANT_FILTERING_GATK:CNNSCOREVARIANTS (S3)	COMPLETED	0	2025-12-08 23:56:25.725	20.1s	19.3s	176.8%	619.4 MB	19.6 GB	194.7 MB	20.1 MB
165	1e/e7483c	136341	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:VCF_VARIANT_FILTERING_GATK:FILTERVARIANTTRANCHES (S3)	COMPLETED	0	2025-12-08 23:57:15.256	15.8s	14.9s	154.8%	690.1 MB	13.6 GB	140.8 MB	731.8 KB
169	99/eb2b40	138501	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (S3)	COMPLETED	0	2025-12-08 23:57:32.072	536ms	182ms	453.6%	3.2 MB	49.7 MB	175.3 KB	5.5 KB
168	2d/c4aa3b	138785	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (S3)	COMPLETED	0	2025-12-08 23:57:33.384	1.4s	0ms	103.2%	2.4 MB	20.6 MB	104 KB	3.3 KB
166	2b/d3a587	138956	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (S3)	COMPLETED	0	2025-12-08 23:57:33.889	1.4s	0ms	107.8%	1.2 MB	16.7 MB	104 KB	2.6 KB
167	62/c4c276	138950	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (S3)	COMPLETED	0	2025-12-08 23:57:33.868	1.6s	0ms	68.5%	1.5 MB	20.4 MB	104 KB	2.7 KB
170	68/b7fd2f	139456	NFCORE_SAREK:SAREK:MULTIQC	COMPLETED	0	2025-12-08 23:57:37.687	30.8s	30.2s	42.6%	683.8 MB	19.9 GB	100.6 MB	51.7 MB
